playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Beli System,198393,'USS Sanctuary',CV,[Private]  ,21036,868,-5973.218 26.65006 5730.549,317.1366 353.7195 223.8322,True,True,False,9/11/2017 10:24:22 PM,15381903,'Captain Durall',76561198022220344,9/11/2017 10:24:44 PM,15382330,
Beli System,198393,'USS Sanctuary',CV,[Private]  ,21036,868,-5973.218 26.65006 5730.549,317.1366 353.7195 223.8322,True,True,False,9/11/2017 10:25:10 PM,15382866,'Captain Durall',76561198022220344,9/11/2017 10:25:32 PM,15383300,
Europa System,198393,'USS Sanctuary',CV,[Private]  ,21058,891,18660.17 -4977.123 7260.643,14.1909 69.17627 306.7465,True,True,False,9/12/2017 1:52:37 AM,15631789,'Captain Durall',76561198022220344,9/12/2017 1:52:59 AM,15632228,
Europa System,198393,'USS Sanctuary',CV,[Private]  ,21058,891,18660.17 -4977.123 7260.643,14.1909 69.17627 306.7465,True,True,False,9/12/2017 1:52:37 AM,15631789,'Captain Durall',76561198022220344,9/12/2017 4:37:26 AM,15829577,
Europa System,198393,'USS Sanctuary',CV,[Private]  ,21058,891,18660.17 -4977.123 7260.643,14.1909 69.17627 306.7465,True,True,False,9/12/2017 1:52:37 AM,15631789,'Captain Durall',76561198022220344,9/12/2017 4:52:12 AM,15847302,
Europa System,198393,'USS Sanctuary',CV,[Private]  ,21058,891,18660.17 -4977.123 7260.643,14.1909 69.17627 306.7465,True,True,False,9/12/2017 1:52:37 AM,15631789,'Captain Durall',76561198022220344,9/12/2017 5:10:31 AM,15869266,
Europa System,198393,'USS Sanctuary',CV,[Private]  ,21058,891,18660.17 -4977.123 7260.643,14.1909 69.17627 306.7465,True,True,False,9/12/2017 1:52:37 AM,15631789,'Captain Durall',76561198022220344,9/12/2017 10:15:42 AM,16235503,
Europa System,198393,'USS Sanctuary',CV,[Private]  ,21058,891,18660.17 -4977.123 7260.643,14.1909 69.17627 306.7465,True,True,False,9/12/2017 1:52:37 AM,15631789,'Captain Durall',76561198022220344,9/12/2017 10:48:14 AM,16274530,
