playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Gaspra,8501,'Small Vessel (SV)',SV,[Fac   100],192,34,-2798.913 42.79623 204.8209,357.2584 262.3875 3.096411,True,False,False,9/3/2017 4:39:50 AM,301603,' Sackinvain',76561197994450968,9/3/2017 4:53:42 AM,318238,
Seranis System,8501,'Small Vessel (SV)',SV,[Fac   100],192,34,-1447.935 2451.337 -2129.156,338.1837 67.95392 72.07188,True,False,True,9/3/2017 6:29:33 PM,1295011,'Satren',76561198124558893,9/3/2017 6:32:31 PM,1298617,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],192,34,-3586.697 47.53401 1195.181,358.5122 202.7852 359.5791,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/3/2017 8:42:06 PM,1454113,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],192,34,-3586.697 47.53401 1195.181,358.5122 202.7852 359.5791,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/3/2017 8:49:13 PM,1462662,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],192,34,-3646.125 47.7522 1215.666,359.8456 148.5543 359.2396,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/4/2017 2:43:27 AM,1887732,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],192,34,-3646.125 47.7522 1215.666,359.8456 148.5543 359.2396,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/4/2017 11:24:11 AM,2509497,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],192,34,-3646.125 47.7522 1215.666,359.8456 148.5543 359.2396,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/4/2017 12:32:09 PM,2591058,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],167,32,-3507.177 48.58241 1125.978,1.122536 274.381 358.1034,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/5/2017 2:24:19 AM,3589658,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],167,32,-3507.177 48.58241 1125.978,1.122536 274.381 358.1034,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/6/2017 2:15:23 AM,5305201,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],167,32,-3507.177 48.58241 1125.978,1.122536 274.381 358.1034,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/6/2017 2:21:00 AM,5311946,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],167,32,-3545.669 46.76723 1136.974,359.1836 289.6103 2.172843,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/6/2017 5:02:55 AM,5506245,
Seranis System,8501,'Small Vessel (SV)',SV,[Fac   100],167,32,5970.68 -6101.939 6214.984,347.3427 4.983582 48.29247,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/6/2017 4:23:23 PM,6320959,
Seranis,8501,'Small Vessel (SV)',SV,[Fac   100],167,32,-3528.589 48.26059 1195.204,0.0438932 261.4007 359.6388,True,False,True,9/3/2017 6:52:10 PM,1322196,'hello',76561198124558893,9/6/2017 6:59:48 PM,6507329,WIPED
