playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Seranis,64003,'Penis',SV,[Fac   100],800,119,-3677.253 21.41551 1140.313,358.4555 33.37431 1.137495,True,False,True,9/6/2017 3:14:01 AM,5375558,'Satren',76561198124558893,9/6/2017 3:25:39 AM,5389528,
Seranis,64003,'Penis',SV,[Fac   100],800,119,-3677.253 21.41551 1140.313,358.4555 33.37431 1.137495,True,False,True,9/6/2017 3:14:01 AM,5375558,'Satren',76561198124558893,9/6/2017 5:02:55 AM,5506245,
Seranis,64003,'Penis',SV,[Fac   100],800,119,-3677.253 21.41551 1140.313,358.4555 33.37431 1.137495,True,False,True,9/6/2017 11:24:47 AM,5962636,'Satren',76561198124558893,9/6/2017 1:14:00 PM,6093712,
Vyrdis,64003,'Penis',SV,[Fac   100],800,119,-454.278 72.15807 -975.65,0.0007940192 93.34109 -0.001425747,True,False,True,9/7/2017 2:06:58 AM,7019934,'Satren',76561198124558893,9/7/2017 2:51:39 AM,7073559,
Vyrdis,64003,'Penis',SV,[Fac   100],800,119,-454.6928 72.1438 -978.7531,0.001165182 92.90621 -0.002516098,True,False,True,9/7/2017 3:38:40 AM,7129964,'Satren',76561198124558893,9/7/2017 10:04:29 AM,7592957,
Vyrdis,64003,'Penis',SV,[Fac   100],800,119,-453.5354 72.22035 -977.0983,-0.00104101 90.2667 5.896697E-05,True,False,True,9/7/2017 11:48:13 AM,7715698,'Satren',76561198124558893,9/7/2017 11:54:00 AM,7722631,
Vyrdis,64003,'Penis',SV,[Fac   100],800,119,-452.9261 72.19791 -977.0877,-0.001732818 92.09724 -0.0007929523,True,False,True,9/8/2017 12:57:03 AM,8662306,'Satren',76561198124558893,9/8/2017 2:44:15 AM,8790941,
Vyrdis,64003,'Penis',SV,[Fac   100],800,119,-452.6569 72.21003 -977.9205,-0.004272084 84.71078 -0.0003497631,True,False,True,9/8/2017 11:16:13 AM,9405304,'Satren',76561198124558893,9/8/2017 11:56:46 AM,9453948,
Vyrdis,64003,'Penis',SV,[Fac   100],800,119,-452.6569 72.21003 -977.9205,-0.004272084 84.71078 -0.0003497631,True,False,True,9/8/2017 11:16:13 AM,9405304,'Satren',76561198124558893,9/8/2017 11:59:14 AM,9456911,
