playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Eonus Moon,146020,'LUNAR OPERATIONS',CV,[Private]  ,564,63,1885.449 63.01633 226.7202,-0.0005920603 126.8682 0.0001551625,True,True,False,9/9/2017 1:14:38 AM,10407628,'Locust',76561198015214105,9/9/2017 1:14:59 AM,10408063,
Eonus Moon,146020,'LUNAR OPERATIONS',CV,[Private]  ,564,63,1843.504 55.38791 255.3562,11.3343 307.5819 9.780368,True,True,False,9/10/2017 7:17:15 PM,13431074,'Locust',76561198015214105,9/10/2017 7:18:02 PM,13432017,
Eonus Moon,146020,'LUNAR OPERATIONS',CV,[Private]  ,565,64,1843.504 55.38791 255.3562,11.3343 307.5819 9.780368,True,True,False,9/10/2017 7:57:31 PM,13479397,'Locust',76561198015214105,9/10/2017 7:57:53 PM,13479839,
Eonus Moon,146020,'LUNAR OPERATIONS',CV,[Private]  ,565,64,1843.504 55.38791 255.3562,11.33497 307.5853 9.787805,True,True,False,9/10/2017 10:44:06 PM,13679300,'Locust',76561198015214105,9/10/2017 10:45:27 PM,13680919,
Himalia System,146020,'LUNAR OPERATIONS',CV,[Private]  ,704,65,2723.312 1798.246 -3798.713,336.7448 316.8996 359.8012,True,True,False,9/11/2017 12:14:01 AM,13787193,'Locust',76561198015214105,9/11/2017 12:14:22 AM,13787622,
Seranis System,146020,'LUNAR OPERATIONS',CV,[Private]  ,703,65,-5140.247 -2497.902 3402.472,19.68651 29.57206 352.4558,True,True,False,9/12/2017 2:04:38 AM,15646215,'Locust',76561198015214105,9/12/2017 2:06:58 AM,15649024,
Seranis System,146020,'LUNAR OPERATIONS',CV,[Private]  ,703,66,-5140.247 -2497.902 3402.472,19.68651 29.57206 352.4558,True,True,False,9/12/2017 2:32:18 AM,15679418,'Locust',76561198015214105,9/12/2017 2:34:23 AM,15681921,
Carme,146020,'LUNAR OPERATIONS',CV,[Private]  ,705,66,-1485.046 70.86089 -319.5905,1.842505 355.3045 359.555,True,True,False,9/12/2017 4:04:52 AM,15790486,'Locust',76561198015214105,9/12/2017 4:07:00 AM,15793053,
Vulca System,146020,'LUNAR OPERATIONS',CV,[Private]  ,705,66,3535.715 3442.455 788.6873,328.8587 284.4819 354.0747,True,True,False,9/12/2017 4:42:00 AM,15835063,'Locust',76561198015214105,9/12/2017 4:42:25 AM,15835560,
Vulca System,146020,'LUNAR OPERATIONS',CV,[Private]  ,705,66,3535.715 3442.455 788.6873,328.8587 284.4819 354.0747,True,True,False,9/12/2017 4:42:00 AM,15835063,'Locust',76561198015214105,9/12/2017 4:58:59 AM,15855436,
Vulca System,146020,'LUNAR OPERATIONS',CV,[Private]  ,705,66,3535.715 3442.455 788.6873,328.8587 284.4819 354.0747,True,True,False,9/12/2017 4:42:00 AM,15835063,'Locust',76561198015214105,9/12/2017 10:35:02 AM,16258704,
