playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Eonus Moon,146021,'Small Vessel (SV)',SV,[Private]  ,46,46,1877.322 66.01058 231.9539,0.4162388 124.8236 0.01076477,True,True,True,9/9/2017 1:09:42 AM,10401724,'Locust',76561198015214105,9/9/2017 1:14:59 AM,10408063,
Eonus Moon,146021,'Small Vessel (SV)',SV,[Private]  ,46,46,1850.62 60.29251 250.0932,12.08569 305.5938 9.394857,True,True,True,9/10/2017 7:02:41 PM,13413612,'Locust',76561198015214105,9/10/2017 7:18:02 PM,13432017,
Eonus Moon,146021,'Small Vessel (SV)',SV,[Private]  ,46,46,1850.62 60.29251 250.0932,12.08569 305.5938 9.394857,True,True,True,9/10/2017 7:41:18 PM,13459951,'Locust',76561198015214105,9/10/2017 7:57:53 PM,13479839,
Eonus Moon,146021,'Small Vessel (SV)',SV,[Private]  ,46,46,1850.62 60.29251 250.0932,12.08661 305.5974 9.402288,True,True,True,9/10/2017 10:11:21 PM,13639999,'Locust',76561198015214105,9/10/2017 10:45:27 PM,13680919,
Himalia System,146021,'Small Vessel (SV)',SV,[Private]  ,46,46,2730.682 1797.19 -3805.565,337.1702 314.6796 0.6883107,True,True,True,9/10/2017 11:56:12 PM,13765848,'Locust',76561198015214105,9/11/2017 12:14:22 AM,13787622,
Seranis System,146021,'Small Vessel (SV)',SV,[Private]  ,46,46,-5143.311 -2491.943 3394.889,19.8178 27.35933 351.726,True,True,True,9/10/2017 11:56:12 PM,13765848,'Locust',76561198015214105,9/12/2017 2:06:58 AM,15649024,
Seranis System,146021,'Small Vessel (SV)',SV,[Private]  ,46,46,-5143.311 -2491.943 3394.889,19.8178 27.35933 351.726,True,True,True,9/12/2017 2:29:39 AM,15676240,'Locust',76561198015214105,9/12/2017 2:34:23 AM,15681921,
Carme,146021,'honey pot',SV,[Private]  ,46,46,-1303.812 261.7018 -301.9508,333.3957 174.0732 158.0639,True,False,False,9/12/2017 4:06:38 AM,15792616,'Locust',76561198015214105,9/12/2017 4:07:01 AM,15793053,
Vulca System,146021,'honey pot',SV,[Private]  ,45,45,3544.321 3440.655 788.1519,330.114 291.6171 350.4422,True,True,True,9/12/2017 4:16:41 AM,15804684,'Locust',76561198015214105,9/12/2017 4:42:25 AM,15835560,
Vulca System,146021,'honey pot',SV,[Private]  ,45,45,3544.321 3440.655 788.1519,330.114 291.6171 350.4422,True,True,True,9/12/2017 4:16:41 AM,15804684,'Locust',76561198015214105,9/12/2017 4:58:59 AM,15855436,
Vulca System,146021,'honey pot',SV,[Private]  ,45,45,3544.321 3440.655 788.1519,330.114 291.6171 350.4422,True,True,True,9/12/2017 4:16:41 AM,15804684,'Locust',76561198015214105,9/12/2017 10:35:02 AM,16258704,
Ganymede System,146021,'honey pot',SV,[Private]  ,45,45,-5896.14 566.1063 -7900.393,356.5285 14.62563 26.78958,True,True,True,9/13/2017 1:31:27 AM,17330825,'Locust',76561198015214105,9/13/2017 2:01:36 AM,17366982,
Ganymede System,146021,'honey pot',SV,[Private]  ,45,45,-5896.14 566.1063 -7900.393,356.5285 14.62563 26.78958,True,True,True,9/13/2017 1:31:27 AM,17330825,'Locust',76561198015214105,9/13/2017 11:00:41 AM,18010068,
