playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Ganymede,110147,'Capital Vessel (CV)',CV,[Private]  ,2426,290,-2943.917 48.18831 -1063.081,0.582051 0.3048108 -0.002907909,True,True,False,9/8/2017 1:46:36 AM,8721770,'Oriayan',76561198009448434,9/8/2017 1:46:58 AM,8722198,
Ganymede,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-2872.982 30.21695 580.1399,3.046223 236.2791 354.0076,True,True,False,9/8/2017 5:36:29 AM,8997612,'Oriayan',76561198009448434,9/8/2017 5:36:50 AM,8998042,
Ganymede,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-2872.934 30.22599 580.065,3.029051 236.2839 354.0456,True,True,False,9/8/2017 9:03:25 PM,10106178,'Oriayan',76561198009448434,9/8/2017 9:03:47 PM,10106609,
Ganymede,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-2872.934 30.22599 580.065,3.029051 236.2839 354.0456,True,True,False,9/9/2017 5:54:41 AM,10743696,'Oriayan',76561198009448434,9/9/2017 5:55:03 AM,10744133,
Ganymede,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-3617.628 53.22313 1054.066,3.181953 69.2205 3.541326,True,True,False,9/9/2017 6:40:51 AM,10799092,'Oriayan',76561198009448434,9/9/2017 6:41:12 AM,10799518,
Adrastea System,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,9597.571 14405.1 10800.77,319.5505 67.1899 213.256,True,True,False,9/9/2017 4:05:26 PM,11474665,'Oriayan',76561198009448434,9/9/2017 4:05:48 PM,11475103,
Adrastea System,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,9640.524 14387.7 10952.88,33.64768 236.3833 136.6441,True,True,False,9/10/2017 1:29:48 AM,12151893,'Oriayan',76561198009448434,9/10/2017 1:30:10 AM,12152332,
Vyrdis System,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-8012.565 -1188.707 1484.144,0.4016847 103.6086 0.05433631,True,True,False,9/10/2017 1:49:02 AM,12174984,'Oriayan',76561198009448434,9/10/2017 1:49:24 AM,12175418,
Europa System,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-7945.022 -375.1685 7637.168,0 133.5312 0,True,True,False,9/10/2017 2:39:37 AM,12235688,'Oriayan',76561198009448434,9/10/2017 2:39:59 AM,12236121,
Seranis System,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-9229.663 277.9328 -1669.553,5.492611 80.38618 0.2127947,True,True,False,9/10/2017 2:44:57 AM,12242080,'Oriayan',76561198009448434,9/10/2017 2:45:18 AM,12242506,
Seranis,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-3729.771 46.56997 -538.5959,359.9745 358.7829 1.712834,True,True,False,9/10/2017 3:06:15 AM,12267641,'Oriayan',76561198009448434,9/10/2017 3:06:36 AM,12268061,
Seranis,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-3729.771 46.56997 -538.5959,359.9745 358.7829 1.712834,True,True,False,9/10/2017 3:08:55 AM,12270835,'Oriayan',76561198009448434,9/10/2017 3:09:17 AM,12271272,
Seranis,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-3729.771 46.56997 -538.5959,359.9745 358.7829 1.712834,True,True,False,9/10/2017 3:11:40 AM,12274145,'Oriayan',76561198009448434,9/10/2017 3:12:02 AM,12274576,
Seranis,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,1142.541 33.95221 -1013.426,2.586101 280.0302 359.6642,True,True,False,9/10/2017 4:02:09 AM,12334731,'Oriayan',76561198009448434,9/10/2017 4:02:31 AM,12335167,
Seranis,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,1142.541 33.95221 -1013.426,2.586101 280.0302 359.6642,True,True,False,9/10/2017 4:04:49 AM,12337929,'Oriayan',76561198009448434,9/10/2017 4:05:11 AM,12338359,
Seranis,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,1178.068 36.28177 -923.9578,354.5263 156.8071 0.06685073,True,True,False,9/10/2017 5:42:34 AM,12455223,'Oriayan',76561198009448434,9/10/2017 5:42:55 AM,12455646,
Seranis,110147,'Capital Vessel (CV)',CV,[Private]  ,2437,301,1188.733 35.42614 -941.2466,358.6405 152.8412 355.463,True,True,False,9/10/2017 3:54:26 PM,13187708,'Oriayan',76561198009448434,9/10/2017 3:54:48 PM,13188149,
Seranis,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-1568.267 87.97786 -617.8815,352.7687 226.9544 354.7315,True,True,False,9/11/2017 2:36:42 AM,13958421,'Oriayan',76561198009448434,9/11/2017 2:37:04 AM,13958851,
Seranis System,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-9181.539 -493.699 -2263.577,343.3326 199.1849 89.77394,True,True,False,9/11/2017 4:37:25 AM,14103275,'Oriayan',76561198009448434,9/11/2017 4:37:46 AM,14103708,
Seranis Moon,110147,'Capital Vessel (CV)',CV,[Private]  ,2436,300,-1366.835 32.51067 -1012.132,1.408017 261.1057 356.6931,True,True,False,9/11/2017 2:14:34 PM,14794128,'Oriayan',76561198009448434,9/11/2017 2:14:55 PM,14794562,
Icarus,110147,'Capital Vessel (CV)',CV,[NoFaction],1,1,-3397.037 40.8708 1059.942,0.0345494 95.75478 359.9868,False,False,False,9/11/2017 9:00:12 PM,15280895,'Oriayan',76561198009448434,9/11/2017 9:00:49 PM,15281637,REMOVE EMPTY
